Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code,Item,Year_Code,Year,Unit,Value,Flag,Flag_Description,Note
OA,Annual population,100,Bulgaria,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,3481.952,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,3451.291,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,3420.914,X,Figure from international organizations,
OA,Annual population,100,Bulgaria,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,3385.278,X,Figure from international organizations,
OA,Annual population,208,Denmark,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,2897.282,X,Figure from international organizations,
OA,Annual population,208,Denmark,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,2881.706,X,Figure from international organizations,
OA,Annual population,208,Denmark,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,2866.323,X,Figure from international organizations,
OA,Annual population,208,Denmark,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,2850.791,X,Figure from international organizations,
OA,Annual population,208,Denmark,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,2834.668,X,Figure from international organizations,
OA,Annual population,208,Denmark,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,2819.175,X,Figure from international organizations,
OA,Annual population,246,Finland,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,2731.017,X,Figure from international organizations,
OA,Annual population,246,Finland,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,2725.759,X,Figure from international organizations,
OA,Annual population,246,Finland,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,2721.202,X,Figure from international organizations,
OA,Annual population,246,Finland,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,2715.716,X,Figure from international organizations,
OA,Annual population,246,Finland,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,2706.893,X,Figure from international organizations,
OA,Annual population,246,Finland,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,2696.669,X,Figure from international organizations,
OA,Annual population,703,Slovakia,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,2664.671,X,Figure from international organizations,
OA,Annual population,703,Slovakia,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,2663.062,X,Figure from international organizations,
OA,Annual population,703,Slovakia,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,2658.705,X,Figure from international organizations,
OA,Annual population,703,Slovakia,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,2654.06,X,Figure from international organizations,
OA,Annual population,703,Slovakia,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,2648.896,X,Figure from international organizations,
OA,Annual population,703,Slovakia,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,2644.274,X,Figure from international organizations,
OA,Annual population,372,Ireland,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,2450.316,X,Figure from international organizations,
OA,Annual population,372,Ireland,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,2425.139,X,Figure from international organizations,
OA,Annual population,372,Ireland,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,2394.313,X,Figure from international organizations,
OA,Annual population,372,Ireland,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,2362.383,X,Figure from international organizations,
OA,Annual population,372,Ireland,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,2333.847,X,Figure from international organizations,
OA,Annual population,372,Ireland,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,2308.039,X,Figure from international organizations,
OA,Annual population,191,Croatia,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,2058.566,X,Figure from international organizations,
OA,Annual population,191,Croatia,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,2045.886,X,Figure from international organizations,
OA,Annual population,191,Croatia,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,2033.167,X,Figure from international organizations,
OA,Annual population,191,Croatia,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,2020.133,X,Figure from international organizations,
OA,Annual population,191,Croatia,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,2007.499,X,Figure from international organizations,
OA,Annual population,191,Croatia,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,1993.655,X,Figure from international organizations,
OA,Annual population,440,Lithuania,512,Total Population - Male,3010,Population - Est. & Proj.,2015,2015,1000 persons,1372.141,X,Figure from international organizations,
OA,Annual population,440,Lithuania,512,Total Population - Male,3010,Population - Est. & Proj.,2016,2016,1000 persons,1361.233,X,Figure from international organizations,
OA,Annual population,440,Lithuania,512,Total Population - Male,3010,Population - Est. & Proj.,2017,2017,1000 persons,1350.949,X,Figure from international organizations,
OA,Annual population,440,Lithuania,512,Total Population - Male,3010,Population - Est. & Proj.,2018,2018,1000 persons,1341.245,X,Figure from international organizations,
OA,Annual population,440,Lithuania,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,1331.885,X,Figure from international organizations,
OA,Annual population,440,Lithuania,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,1321.199,X,Figure from international organizations,
OA,Annual population,705,Slovenia,512,Total Population - Male,3010,Population - Est. & Proj.,2020,2020,1000 persons,1062.997,X,Figure from international organizations,
OA,Annual population,705,Slovenia,512,Total Population - Male,3010,Population - Est. & Proj.,2019,2019,1000 persons,1058.072,X,Figure from international organizations,
