Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code_(CPC),Item,Year_Code,Year,Months_Code,Months,Unit,Value,Flag,Flag_Description
PP,Producer Prices,620,Portugal,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1648.3,A,Official figure
PP,Producer Prices,620,Portugal,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1603.3,A,Official figure
PP,Producer Prices,620,Portugal,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1858.3,A,Official figure
PP,Producer Prices,620,Portugal,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1834.7,A,Official figure
PP,Producer Prices,620,Portugal,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1966,A,Official figure
PP,Producer Prices,620,Portugal,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,2060.3,A,Official figure
PP,Producer Prices,642,Romania,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,2057.1,A,Official figure
PP,Producer Prices,642,Romania,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,2037.3,A,Official figure
PP,Producer Prices,642,Romania,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,2245.5,A,Official figure
PP,Producer Prices,642,Romania,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,2268.1,A,Official figure
PP,Producer Prices,642,Romania,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,2310.1,A,Official figure
PP,Producer Prices,642,Romania,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,2381.9,A,Official figure
PP,Producer Prices,703,Slovakia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1534.4,A,Official figure
PP,Producer Prices,703,Slovakia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1480.6,A,Official figure
PP,Producer Prices,703,Slovakia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1657.4,A,Official figure
PP,Producer Prices,703,Slovakia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1707,A,Official figure
PP,Producer Prices,703,Slovakia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1607.7,A,Official figure
PP,Producer Prices,703,Slovakia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,1629.8,A,Official figure
PP,Producer Prices,705,Slovenia,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1829,A,Official figure
PP,Producer Prices,724,Spain,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2015,2015,7021,Annual value,USD,1263.1,A,Official figure
PP,Producer Prices,724,Spain,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2016,2016,7021,Annual value,USD,1260.5,A,Official figure
PP,Producer Prices,724,Spain,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2017,2017,7021,Annual value,USD,1423.3,A,Official figure
PP,Producer Prices,724,Spain,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2018,2018,7021,Annual value,USD,1351.5,A,Official figure
PP,Producer Prices,724,Spain,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2019,2019,7021,Annual value,USD,1509.2,A,Official figure
PP,Producer Prices,724,Spain,5532,Producer Price (USD/tonne),21113.01,"Meat of pig with the bone, fresh or chilled",2020,2020,7021,Annual value,USD,1485.1,A,Official figure
